delta,n,censoring,true_effect_attached,reps_attached,score_coverage_attached,score_mean_length_attached,score_full_set_attached,mean_first_stage_attached,wald_coverage_attached,wald_mean_length_attached,true_effect_final,reps_final,score_coverage_final,score_mean_length_final,score_full_set_final,mean_first_stage_final,wald_coverage_final,wald_mean_length_final,score_coverage_difference,combined_score_mcse,score_difference_in_mcse,within_two_combined_mcse,truth_difference,interpretation
0.05,500,0.0,-0.0996821899605749,1000,0.965,1.8681144713821545,0.8,0.0356571655250495,0.998,1597.5642605798398,-0.0964917268517434,5000,0.9534,1.8612781360278676,0.8032,0.0358477245431393,0.9992,9133.869053451286,-0.011599999999999944,0.006531514985055153,-1.7760044991923096,True,0.003190463108831504,Same qualitative conclusion; final run uses exact common truth and finite-jump correction.
0.05,500,0.3,-0.0996821899605749,1000,0.943,1.8678400399900024,0.82,0.0325868536631123,0.997,979.7672992633608,-0.0964917268517434,5000,0.9478,1.8634409767621984,0.8064,0.0358941826743146,0.999,13181.839893066546,0.0048000000000000265,0.007977846325920301,0.6016661394447596,True,0.003190463108831504,Same qualitative conclusion; final run uses exact common truth and finite-jump correction.
0.05,1000,0.0,-0.0996821899605749,1000,0.957,1.8181209697575604,0.711,0.0371238920113311,0.998,1266.958256834594,-0.0964917268517434,5000,0.9488,1.8149432343074865,0.7214,0.0350487672641979,0.999,7213.516332335318,-0.008199999999999985,0.007132090296680212,-1.1497330598600042,True,0.003190463108831504,Same qualitative conclusion; final run uses exact common truth and finite-jump correction.
0.05,1000,0.3,-0.0996821899605749,1000,0.96,1.8392881779555112,0.747,0.0360608958830875,0.997,2014.4890620080123,-0.0964917268517434,5000,0.9462,1.8247057763354249,0.7344,0.0357381536649099,0.9988,1064.299673697651,-0.013799999999999923,0.006970015208017844,-1.9799095967718001,True,0.003190463108831504,Same qualitative conclusion; final run uses exact common truth and finite-jump correction.
0.15,500,0.0,-0.0972871492504064,1000,0.947,1.552014496375906,0.312,0.1063670231128646,0.992,363.8090508428056,-0.0964917268517434,5000,0.9454,1.530494324901927,0.3034,0.1073621244647339,0.992,17.77340201755736,-0.0015999999999999348,0.0077791238581218156,-0.20567868942328904,True,0.0007954223986629955,Same qualitative conclusion; final run uses exact common truth and finite-jump correction.
0.15,500,0.3,-0.0972871492504064,1000,0.951,1.568422894276431,0.317,0.1063202829711481,0.992,14.684949191629462,-0.0964917268517434,5000,0.9448,1.5687823205014475,0.3178,0.1063586243589635,0.9928,225.3287376188212,-0.006199999999999983,0.007551793959053706,-0.8209969755023465,True,0.0007954223986629955,Same qualitative conclusion; final run uses exact common truth and finite-jump correction.
0.15,1000,0.0,-0.0972871492504064,1000,0.954,1.2381219695076229,0.072,0.1066928248872337,0.983,1.270128356813652,-0.0964917268517434,5000,0.9468,1.2261811727449088,0.0708,0.1068911385932397,0.9782,3.6870611081975526,-0.007199999999999984,0.007345607667170909,-0.9801775872373804,True,0.0007954223986629955,Same qualitative conclusion; final run uses exact common truth and finite-jump correction.
0.15,1000,0.3,-0.0972871492504064,1000,0.953,1.2814221444638842,0.073,0.1073781267356031,0.986,1.3465640236353689,-0.0964917268517434,5000,0.9486,1.2803718617835227,0.0862,0.1062414756246962,0.9824,1.3784733598284955,-0.0043999999999999595,0.007385296744207374,-0.595778362386194,True,0.0007954223986629955,Same qualitative conclusion; final run uses exact common truth and finite-jump correction.
0.35,500,0.0,-0.0976322478337797,1000,0.949,0.7150287428142965,0.0,0.2488820291157574,0.963,0.6659009507512498,-0.0964917268517434,5000,0.953,0.7052024026567436,0.0006,0.2491403622623367,0.9648,0.6566761238391541,0.0040000000000000036,0.007573453637542125,0.528160624126849,True,0.0011405209820363055,Same qualitative conclusion; final run uses exact common truth and finite-jump correction.
0.35,500,0.3,-0.0976322478337797,1000,0.961,0.754893776555861,0.001,0.2501746025908352,0.97,0.705579586698021,-0.0964917268517434,5000,0.9488,0.75030603958138,0.0008,0.2495071715921455,0.9636,0.7022992297085718,-0.012199999999999989,0.006869840755068492,-1.77587813676743,True,0.0011405209820363055,Same qualitative conclusion; final run uses exact common truth and finite-jump correction.
0.35,1000,0.0,-0.0976322478337797,1000,0.968,0.4725503624093976,0.0,0.2488620275734268,0.97,0.4576779966438871,-0.0964917268517434,5000,0.9446,0.4689477383394598,0.0,0.2485832627851126,0.951,0.4539240255284994,-0.023399999999999976,0.006437559164776665,-3.6349180490695776,False,0.0011405209820363055,Same qualitative conclusion; final run uses exact common truth and finite-jump correction.
0.35,1000,0.3,-0.0976322478337797,1000,0.954,0.5059265183704074,0.0,0.2488791281437215,0.962,0.4898970419346671,-0.0964917268517434,5000,0.9524,0.4997721183627653,0.0,0.2495846392765749,0.96,0.4839560688043299,-0.0015999999999999348,0.007276733333027949,-0.219878883390956,True,0.0011405209820363055,Same qualitative conclusion; final run uses exact common truth and finite-jump correction.
